Id,CityName,Beds,Baths,ListingType,Area,PopulationLatest,Schools,Colleges,Universities,Ameneties,Airbnbs,Price,AveragePrice,AboveBelowAverage,PriceCategorization
M73000004-25120121,Brantford,3,3,Single Family,1552,104688,5,0,0,9,14,679999.0,635487.0,A,650000-700000
M73000004-25121880,Niagara Falls,6,2,Single Family,2312,94415,1,0,0,67,30,925000.0,597642.0,A,900000-950000
M73000004-25123379,London,5,5,Single Family,2552,422324,0,0,0,0,0,1098000.0,723548.0,A,1000000-1100000
M73000004-25124126,Mississauga,7,14,Single Family,17455,717961,62,1,0,215,119,29900000.0,676275.0,A,
M73000004-25124206,Sarnia,3,3,Condo,1250,72047,10,1,0,38,15,624000.0,626337.0,B,600000-650000
M73000004-25129136,Port Colborne,5,4,Multi-Family,4040,20033,5,0,0,14,20,1149900.0,669084.0,A,1100000-1200000
M73000004-25129212,Southwold,5,5,Single Family,3538,4851,0,0,0,1,2,1730000.0,891050.0,A,1700000-1800000
M73000004-25129213,Southwold,5,5,Single Family,3538,4851,0,0,0,1,2,1860000.0,891050.0,A,1800000-1900000
M73000004-25131250,London,3,3,Single Family,1654,422324,32,1,0,66,38,904900.0,723548.0,A,900000-950000
M73000004-25144972,Muskoka Lakes,6,3,Single Family,2100,7652,0,0,0,0,0,10493.0,1232877.0,B,0-25000
M73000004-25166947,Wasaga Beach,0,0,Multi-Family,10000,24862,1,0,0,1,23,4288000.0,607191.0,A,4000000-4500000
M73000004-25167260,Lakeshore,4,3,Single Family,2700,40410,0,0,0,0,0,2199900.0,1352250.0,A,2000000-2500000
M73000004-25174802,Mississauga,8,12,Single Family,14101,717961,0,0,0,0,0,24500000.0,676275.0,A,
M73000004-25176353,Nipissing,4,3,Single Family,1920,1769,0,0,0,0,0,997000.0,1073450.0,B,950000-1000000
M73000004-25178885,Brampton,8,5,Single Family,2245,656480,17,0,0,53,38,1249000.0,613476.0,A,1200000-1300000
M73000004-25183300,White River,2,1,Single Family,1600,557,1,0,0,3,2,125000.0,404900.0,B,100000-125000
M73000004-25184961,Kincardine,4,2,Single Family,1650,12268,5,1,0,18,27,1849900.0,902432.0,A,1800000-1900000
M73000004-25190892,Temagami,3,1,Single Family,1236,862,1,0,0,4,9,1300000.0,1068675.0,A,1200000-1300000
M73000004-25202692,Hamilton,3,3,Condo,1540,11059,6,0,0,25,16,779900.0,587574.0,A,750000-800000
M73000004-25221231,Hanover,4,3,Single Family,3400,7967,1,0,0,10,7,1300000.0,697130.0,A,1200000-1300000
M73000004-25222352,Clearview,6,5,Single Family,5000,14814,0,0,0,0,0,9000.0,1231701.0,B,0-25000
M73000004-25239928,Temiskaming Shores,5,2,Single Family,2500,9634,0,0,0,9,10,525000.0,509018.0,A,500000-550000
M73000004-25244790,Meaford,2,2,Single Family,1560,11485,0,0,0,0,0,975000.0,920593.0,A,950000-1000000
M73000004-25244791,Meaford,2,2,Single Family,1560,11485,0,0,0,0,0,975000.0,920593.0,A,950000-1000000
M73000004-25245644,Niagara-on-the-Lake,3,3,Single Family,1400,19088,0,0,0,69,52,789000.0,1722842.0,B,750000-800000
M73000004-25249942,The Blue Mountains,4,2,Rental,2000,9390,0,0,0,19,69,3000.0,1150137.0,B,0-25000
M73000004-25253733,Wainfleet,2,1,Single Family,1150,6887,0,0,0,0,0,499000.0,1105073.0,B,475000-500000
M73000004-25254998,Meaford,3,3,Condo,2155,11485,0,0,0,0,0,1297000.0,920593.0,A,1200000-1300000
M73000004-25255457,Meaford,3,2,Condo,1830,11485,2,0,0,11,29,1297000.0,920593.0,A,1200000-1300000
M73000004-25256804,Cornwall,2,2,Single Family,1607,47845,0,0,0,0,0,799900.0,459674.0,A,750000-800000
M73000004-25259643,Huntsville,4,3,Single Family,2710,21147,0,0,0,0,0,4139344.0,855364.0,A,4000000-4500000
M73000004-25263918,Kincardine,4,3,Single Family,1523,12268,6,1,0,23,28,999900.0,902432.0,A,950000-1000000
M73000004-25264045,Wainfleet,2,2,Single Family,1370,6887,0,0,0,0,0,999900.0,1105073.0,B,950000-1000000
M73000004-25265483,Ingersoll,4,5,Single Family,2476,13693,5,1,0,18,15,949000.0,611997.0,A,900000-950000
M73000004-25266702,Kincardine,3,4,Single Family,1790,12268,6,1,0,24,28,989900.0,902432.0,A,950000-1000000
M73000004-25266703,Kincardine,4,3,Single Family,1538,12268,6,1,0,24,28,949900.0,902432.0,A,900000-950000
M73000004-25266976,Kincardine,4,3,Single Family,1535,12268,6,1,0,24,28,999900.0,902432.0,A,950000-1000000
M73000004-25274244,Woodstock,4,2,Single Family,3132,46705,0,0,0,1,7,879900.0,636183.0,A,850000-900000
M73000004-25276363,Stratford,11,9,Multi-Family,2636,33232,0,0,0,11,10,3210393.0,779453.0,A,3000000-3500000
M73000004-25278207,Niagara-on-the-Lake,6,8,Single Family,6000,19088,0,0,0,0,0,3990000.0,1722842.0,A,3500000-4000000
M73000004-25278818,Collingwood,3,3,Single Family,1312,24811,3,0,0,39,4,1315000.0,684190.0,A,1300000-1400000
M73000004-25281866,London,3,2,Single Family,965,422324,6,0,0,77,26,899900.0,723548.0,A,850000-900000
M73000004-25285743,Tiny,4,2,Single Family,1300,12966,0,0,0,0,0,799000.0,1115788.0,B,750000-800000
M73000004-25286896,LaSalle,5,5,Single Family,3525,32721,1,0,0,0,1,1699900.0,698743.0,A,1600000-1700000
M73000004-25291092,Milton,4,3,Single Family,3158,132979,0,0,0,0,0,2750000.0,903023.0,A,2500000-3000000
M73000004-25297298,Barrie,1,1,Condo,891,147829,6,0,0,14,12,500339.0,554117.0,B,500000-550000
M73000004-25301802,Muskoka Lakes,3,2,Single Family,2500,7652,0,0,0,0,0,650000.0,1232877.0,B,600000-650000
M73000004-25303277,Brantford,3,2,Single Family,1200,104688,12,1,0,33,21,756900.0,635487.0,A,750000-800000
M73000004-25305698,Burlington,3,0,Single Family,2765,186948,7,0,0,39,16,5022704.0,1105905.0,A,5000000-5500000
M73000004-25306715,Cambridge,4,2,Single Family,2503,138479,0,0,0,0,0,5995000.0,721203.0,A,5500000-6000000
M73000004-25310176,Stratford,11,9,Single Family,2636,33232,0,0,0,11,10,3210393.0,779453.0,A,3000000-3500000
M73000004-25313940,Niagara-on-the-Lake,5,10,Single Family,12800,19088,0,0,0,64,58,10750000.0,1722842.0,A,10000000-15000000
M73000004-25318086,London,5,4,Single Family,1900,422324,0,0,0,0,0,906000.0,723548.0,A,900000-950000
M73000004-25319025,Barrie,5,2,Single Family,1121,147829,8,0,0,5,15,999000.0,554117.0,A,950000-1000000
M73000004-25324877,Innisfil,1,1,Single Family,882,43326,0,0,0,0,0,1249000.0,967822.0,A,1200000-1300000
M73000004-25325293,Woodstock,4,4,Single Family,3245,46705,6,1,0,2,15,1404990.0,636183.0,A,1400000-1500000
M73000004-25325294,Woodstock,4,4,Single Family,2820,46705,6,1,0,2,15,1349990.0,636183.0,A,1300000-1400000
M73000004-25325295,Woodstock,4,4,Single Family,3060,46705,6,1,0,2,15,1364990.0,636183.0,A,1300000-1400000
M73000004-25325298,Woodstock,4,4,Single Family,2820,46705,6,1,0,2,15,1359990.0,636183.0,A,1300000-1400000
M73000004-25325299,Woodstock,4,4,Single Family,2910,46705,6,1,0,2,15,1379990.0,636183.0,A,1300000-1400000
M73000004-25325437,Goderich,2,2,Single Family,1438,7881,4,1,0,15,36,649900.0,676527.0,B,600000-650000
M73000004-25327335,Magnetawan,3,2,Single Family,1732,1753,0,0,0,0,0,659000.0,813900.0,B,650000-700000
M73000004-25328226,Tiny,4,3,Single Family,1352,12966,0,0,0,0,0,799900.0,1115788.0,B,750000-800000
M73000004-25331987,Tiny,4,3,Single Family,1100,12966,0,0,0,1,5,809999.0,1115788.0,B,800000-850000
M73000004-25333567,London,6,5,Single Family,4120,422324,0,0,0,0,0,2190000.0,723548.0,A,2000000-2500000
M73000004-25333660,Burk's Falls,4,2,Single Family,1685,957,0,0,0,0,0,999999.0,981064.0,A,950000-1000000
M73000004-25333661,St. Thomas,2,2,Rental,745,42840,0,0,0,6,12,2000.0,663122.0,B,0-25000
M73000004-25333705,St. Thomas,2,1,Rental,675,42840,0,0,0,6,13,1900.0,663122.0,B,0-25000
M73000004-25337115,Brantford,3,2,Single Family,2021,104688,0,0,0,0,0,1553212.0,635487.0,A,1600000-1700000
M73000004-25338424,Barrie,1,1,Condo,763,147829,6,0,0,14,12,413233.0,554117.0,B,425000-450000
M73000004-25339205,London,4,3,Single Family,2300,422324,6,0,0,7,29,1070000.0,723548.0,A,1000000-1100000
M73000004-25341695,Wasaga Beach,2,1,Single Family,568,24862,0,0,0,0,0,198900.0,607191.0,B,175000-200000
M73000004-25342297,RAINY RIVER,4,2,Single Family,1780,752,0,0,0,0,0,240900.0,303299.0,B,225000-250000
M73000004-25346213,Barrie,1,2,Condo,971,147829,6,0,0,14,12,499000.0,554117.0,B,475000-500000
M73000004-25348633,Hamilton,2,2,Condo,1073,11059,4,0,0,129,30,374900.0,587574.0,B,350000-375000
M73000004-25350676,Brantford,3,1,Rental,1220,104688,1,1,0,28,16,2950.0,635487.0,B,0-25000
M73000004-25350773,Hamilton,2,1,Rental,1000,11059,11,0,0,59,22,2200.0,587574.0,B,0-25000
M73000004-25358590,Wasaga Beach,2,2,Single Family,1139,24862,1,0,0,1,13,379900.0,607191.0,B,375000-400000
M73000004-25358972,Manitouwadge,3,1,Single Family,1040,1974,4,0,0,0,7,150000.0,156795.0,B,125000-150000
M73000004-25365191,Lincoln,3,2,Single Family,1882,25719,0,0,0,0,0,2299900.0,1173538.0,A,2000000-2500000
M73000004-25365321,Innisfil,5,5,Single Family,2650,43326,0,0,0,0,0,2375000.0,967822.0,A,2000000-2500000
M73000004-25365549,Lincoln,3,2,Farm,1882,25719,0,0,0,0,0,2299900.0,1173538.0,A,2000000-2500000
M73000004-25368649,Collingwood,4,3,Single Family,2111,24811,0,0,0,0,0,1495000.0,684190.0,A,1400000-1500000
M73000004-25368658,Hamilton,5,3,Single Family,2820,11059,16,0,0,79,34,1095000.0,587574.0,A,1000000-1100000
M73000004-25379391,Brantford,8,4,Multi-Family,4210,104688,10,1,0,41,27,1100000.0,635487.0,A,1000000-1100000
M73000004-25379392,Brantford,8,6,Multi-Family,5011,104688,10,1,0,42,27,1150000.0,635487.0,A,1100000-1200000
M73000004-25381739,Hamilton,3,2,Rental,1112,11059,2,0,0,41,13,2995.0,587574.0,B,0-25000
M73000004-25383017,Niagara Falls,2,2,Single Family,1660,94415,25,1,0,43,108,1579000.0,597642.0,A,1500000-1600000
M73000004-25384025,St. Catharines,0,0,Multi-Family,3400,136803,6,0,0,23,4,1189000.0,654102.0,A,1100000-1200000
M73000004-25384716,Wainfleet,2,1,Single Family,875,6887,0,0,0,0,0,1599000.0,1105073.0,A,1500000-1600000
M73000004-25386011,Huntsville,1,1,Condo,562,21147,0,0,0,6,15,279000.0,855364.0,B,275000-300000
M73000004-25390325,Saugeen Shores,2,2,Single Family,1473,15908,0,0,0,6,1,825900.0,827031.0,B,800000-850000
M73000004-25394093,The Blue Mountains,5,4,Rental,3000,9390,0,0,0,26,69,4500.0,1150137.0,B,0-25000
M73000004-25394622,Seguin,5,5,Single Family,4021,5280,0,0,0,0,0,6995000.0,2780500.0,A,6500000-7000000
M73000004-25395820,Niagara-on-the-Lake,4,5,Single Family,4548,19088,0,0,0,0,0,6495000.0,1722842.0,A,6000000-6500000
M73000004-25396527,Niagara Falls,4,4,Single Family,2846,94415,23,1,0,39,108,1725000.0,597642.0,A,1700000-1800000
M73000004-25396528,Niagara Falls,3,3,Single Family,2494,94415,24,1,0,39,109,1573000.0,597642.0,A,1500000-1600000
M73000004-25396546,Tiny,3,2,Single Family,1300,12966,0,0,0,0,17,669777.0,1115788.0,B,650000-700000
M73000004-25400131,Central Huron,2,1,Single Family,456,7799,0,0,0,0,0,209000.0,1421580.0,B,200000-225000
M73000004-25400931,Bracebridge,1,1,Condo,415,17305,0,0,0,0,0,335000.0,1140855.0,B,325000-350000
M73000004-25401107,Port Colborne,2,2,Condo,1114,20033,4,0,0,29,18,729900.0,669084.0,A,700000-750000
M73000004-25403426,Burlington,1,1,Condo,1003,186948,2,0,0,2,7,619900.0,1105905.0,B,600000-650000
M73000004-25406504,Amherstburg,4,5,Single Family,6300,23524,0,0,0,0,0,2080000.0,515824.0,A,2000000-2500000
M73000004-25407035,Wasaga Beach,4,4,Single Family,2442,24862,2,0,0,2,19,1598990.0,607191.0,A,1500000-1600000
M73000004-25407713,Severn,6,4,Single Family,3720,14576,0,0,0,0,0,3900000.0,916400.0,A,3500000-4000000
M73000004-25409263,Tiny,1,1,Condo,698,12966,1,0,0,0,7,209900.0,1115788.0,B,200000-225000
M73000004-25413476,Niagara Falls,2,2,Condo,879,94415,3,0,0,7,5,519900.0,597642.0,B,500000-550000
M73000004-25413478,Niagara Falls,2,2,Condo,879,94415,3,0,0,7,5,549900.0,597642.0,B,500000-550000
M73000004-25414626,Ignace,3,1,Single Family,906,1206,3,0,0,3,4,159900.0,172989.0,B,150000-175000
M73000004-25415367,Niagara-on-the-Lake,3,2,Single Family,1880,19088,0,0,0,0,0,1299900.0,1722842.0,B,1200000-1300000
M73000004-25423183,Kitchener,3,4,Condo,2018,256885,18,0,0,33,57,793471.0,462327.0,A,750000-800000
M73000004-25423379,Severn,4,4,Single Family,3800,14576,0,0,0,0,0,1750857.0,916400.0,A,1700000-1800000
M73000004-25425179,Niagara Falls,3,2,Multi-Family,1315,94415,2,0,0,6,7,849900.0,597642.0,A,800000-850000
M73000004-25425995,Fort Erie,3,2,Single Family,1600,32901,0,0,0,0,0,599000.0,767331.0,B,550000-600000
M73000004-25426082,Fort Erie,4,1,Single Family,1867,32901,0,0,0,1,32,1249000.0,767331.0,A,1200000-1300000
M73000004-25426889,Severn,2,1,Single Family,936,14576,0,0,0,0,0,299900.0,916400.0,B,275000-300000
M73000004-25431753,Innisfil,1,2,Single Family,880,43326,6,0,0,24,53,374900.0,967822.0,B,350000-375000
M73000004-25431864,Fort Erie,2,2,Single Family,1962,32901,3,0,0,9,11,769577.0,767331.0,A,800000-850000
M73000004-25432738,Saugeen Shores,4,2,Single Family,1945,15908,0,0,0,0,0,1471500.0,827031.0,A,1500000-1600000
M73000004-25436491,Niagara Falls,2,2,Condo,1259,94415,24,1,0,108,90,648800.0,597642.0,A,600000-650000
M73000004-25437213,Port Colborne,4,2,Single Family,1330,20033,5,0,0,28,19,399900.0,669084.0,B,375000-400000
M73000004-25440833,Georgian Bluffs,5,2,Single Family,2479,11100,0,0,0,0,0,1690000.0,938430.0,A,1600000-1700000
M73000004-25444102,West Grey,5,3,Single Family,1479,13131,0,0,0,0,0,1099900.0,1156088.0,B,1000000-1100000
M73000004-25445213,Niagara Falls,3,2,Single Family,900,94415,4,1,0,71,44,699000.0,597642.0,A,650000-700000
M73000004-25455634,Grimsby,4,3,Single Family,2465,28883,1,0,0,2,7,1299990.0,738305.0,A,1200000-1300000
M73000004-25458041,Tillsonburg,4,3,Single Family,2196,18615,0,0,0,0,0,999900.0,725095.0,A,950000-1000000
M73000004-25458324,Temiskaming Shores,4,2,Single Family,1070,9634,0,0,0,2,12,249000.0,509018.0,B,225000-250000
M73000004-25460277,Fort Erie,4,3,Single Family,2400,32901,3,0,0,8,9,949900.0,767331.0,A,900000-950000
M73000004-25461756,Parry Sound,5,3,Single Family,2030,6879,0,0,0,0,0,3400000.0,736286.0,A,3000000-3500000
M73000004-25465475,Sioux Lookout,5,2,Single Family,1600,5839,0,0,0,0,0,799000.0,117200.0,A,750000-800000
M73000004-25468866,Kingsville,2,2,Condo,1289,22119,4,0,0,25,21,668500.0,887739.0,B,650000-700000
M73000004-25470870,Blind River,3,2,Single Family,1600,3422,6,0,0,8,10,269900.0,371038.0,B,250000-275000
M73000004-25472068,Hamilton,4,3,Single Family,2800,11059,5,0,1,40,27,1429900.0,587574.0,A,1400000-1500000
M73000004-25473330,The Blue Mountains,5,3,Single Family,1830,9390,0,0,0,26,69,16000.0,1150137.0,B,0-25000
M73000004-25475409,Wainfleet,5,2,Single Family,1817,6887,0,0,0,0,0,998000.0,1105073.0,B,950000-1000000
M73000004-25475499,Lincoln,7,3,Farm,4651,25719,0,0,0,0,0,2299900.0,1173538.0,A,2000000-2500000
M73000004-25475500,Lincoln,7,3,Single Family,4651,25719,0,0,0,0,0,2299900.0,1173538.0,A,2000000-2500000
M73000004-25475571,Georgian Bay,3,1,Single Family,1039,3441,0,0,0,0,0,799900.0,1109649.0,B,750000-800000
M73000004-25483214,Kenora,2,1,Condo,1090,14967,0,0,0,1,15,399900.0,586444.0,B,375000-400000
M73000004-25483235,The Blue Mountains,5,2,Single Family,2240,9390,0,0,0,26,69,30000.0,1150137.0,B,25000-50000
M73000004-25486123,London,4,4,Single Family,2175,422324,0,0,0,0,0,999999.0,723548.0,A,950000-1000000
M73000004-25486130,Atikokan,2,1,Single Family,1040,2642,2,0,0,1,1,299000.0,243271.0,A,275000-300000
M73000004-25486840,London,1,2,Single Family,2585,422324,0,0,0,0,0,1189000.0,723548.0,A,1100000-1200000
M73000004-25486841,London,4,4,Single Family,2441,422324,18,0,0,48,46,1125000.0,723548.0,A,1100000-1200000
M73000004-25486842,London,4,4,Single Family,2395,422324,0,0,0,0,0,1100000.0,723548.0,A,1000000-1100000
M73000004-25486876,London,4,4,Single Family,2713,422324,0,0,0,0,0,1249999.0,723548.0,A,1200000-1300000
M73000004-25487298,Hamilton,3,1,Single Family,1044,11059,13,0,0,33,28,649999.0,587574.0,A,600000-650000
M73000004-25489311,Waterloo,3,2,Condo,1484,121436,3,1,1,105,28,589900.0,518598.0,A,550000-600000
M73000004-25489969,Halton Hills,3,1,Single Family,1588,62951,0,0,0,0,0,3625000.0,1333171.0,A,3500000-4000000
M73000004-25490751,Wainfleet,3,1,Single Family,1387,6887,0,0,0,0,1,1408097.0,1105073.0,A,1400000-1500000
M73000004-25490752,Wainfleet,3,3,Single Family,2248,6887,0,0,0,0,0,2299900.0,1105073.0,A,2000000-2500000
M73000004-25491925,Norwich,3,3,Single Family,1551,11151,1,0,0,4,0,898800.0,984660.0,B,850000-900000
M73000004-25494389,Collingwood,2,2,Condo,1300,24811,2,0,0,25,31,589000.0,684190.0,B,550000-600000
M73000004-25497796,Owen Sound,2,2,Condo,1398,21612,0,0,0,25,18,720789.0,563743.0,A,650000-700000
M73000004-25501604,Huntsville,2,2,Condo,1091,21147,2,0,0,25,15,499000.0,855364.0,B,475000-500000
M73000004-25501768,Seguin,4,3,Single Family,3800,5280,0,0,0,0,0,4895000.0,2780500.0,A,4500000-5000000
M73000004-25503230,Huntsville,4,3,Single Family,2465,21147,0,0,0,0,0,1546457.0,855364.0,A,1600000-1700000
M73000004-25504220,Ottawa,3,2,Condo,1373,1017449,2,0,1,129,43,789900.0,566644.0,A,750000-800000
M73000004-25504638,Brampton,4,4,Single Family,2595,656480,0,0,0,0,0,7900000.0,613476.0,A,7500000-10000000
M73000004-25510206,St. Marys,3,2,Single Family,1189,7386,0,0,0,3,0,689900.0,700564.0,B,650000-700000
M73000004-25510267,Oakville,6,8,Single Family,7084,213759,7,0,0,87,17,22999000.0,1140305.0,A,
M73000004-25512214,Hamilton,5,5,Single Family,4839,11059,5,1,0,47,13,2100000.0,587574.0,A,2000000-2500000
M73000004-25514977,London,2,2,Condo,3305,422324,24,0,1,123,81,1565000.0,723548.0,A,1500000-1600000
M73000004-25515032,Tillsonburg,2,3,Condo,1510,18615,3,0,0,0,9,490317.0,725095.0,B,475000-500000
